dat_load,nam_brand_short,nam_country_short,nam_region_short,today_traffic,yesterday_traffic,weekly_avg_traffic,pct_vs_yesterday_traffic,pct_vs_weekly_traffic,today_purchase,yesterday_purchase,weekly_avg_purchase,pct_vs_yesterday_purchase,pct_vs_weekly_purchase,today_add_to_cart,yesterday_add_to_cart,weekly_avg_add_to_cart,pct_vs_yesterday_atc,pct_vs_weekly_atc,today_page_view,yesterday_page_view,weekly_avg_page_view,pct_vs_yesterday_pv,pct_vs_weekly_pv,today_bounce_rate_pct,yesterday_bounce_rate_pct,weekly_avg_bounce_rate_pct,diff_vs_yesterday_bounce_rate,diff_vs_weekly_bounce_rate,status_traffic,status_purchase
2026-05-18,NARS,IT,EMEA,708,811,830.0,-12.7,-14.73,7,6,11.0,16.67,-36.36,128,175,194.0,-26.86,-33.97,2599,2752,3251.0,-5.56,-20.04,29.62,30.42,29.0,-0.8,0.62,NORMAL,WARNING
2026-05-18,NARS,JP,JP,20748,25539,24975.0,-18.76,-16.93,261,383,341.0,-31.85,-23.4,1153,1594,1441.0,-27.67,-19.97,53573,68136,66429.0,-21.37,-19.35,60.83,62.03,57.89,-1.2,2.95,NORMAL,WARNING
2026-05-18,NARS,MY,APAC,149,125,123.0,19.2,21.56,0,0,0.0,,,0,0,0.0,,,433,385,351.0,12.47,23.41,25.47,31.72,31.55,-6.26,-6.08,ALERT,NORMAL
2026-05-18,NARS,TH,APAC,219,264,241.0,-17.05,-9.02,4,4,2.0,0.0,115.38,17,34,26.0,-50.0,-33.89,1005,1182,1095.0,-14.97,-8.2,20.0,18.99,20.09,1.01,-0.09,NORMAL,ALERT
2026-05-18,NARS,TW,APAC,2685,2982,1814.0,-9.96,47.98,78,89,62.0,-12.36,24.94,836,852,515.0,-1.88,62.38,23994,24107,15540.0,-0.47,54.4,12.99,10.93,14.34,2.06,-1.34,ALERT,ALERT
2026-05-18,NARS,UK,EMEA,8558,7732,5829.0,10.68,46.81,531,238,130.0,123.11,308.91,4084,2469,1370.0,65.41,198.13,49570,36255,24431.0,36.73,102.9,32.62,32.81,34.02,-0.19,-1.41,ALERT,ALERT
2026-05-18,NARS,US,Americas,55561,53529,35099.0,3.8,58.3,1829,2065,881.0,-11.43,107.6,19505,22031,9385.0,-11.47,107.83,199529,212892,112795.0,-6.28,76.9,44.63,39.92,45.54,4.71,-0.91,ALERT,ALERT
2026-05-18,bShi,BE,EMEA,346,427,376.0,-18.97,-7.91,6,9,5.0,-33.33,13.51,60,53,44.0,13.21,37.7,1849,2029,1920.0,-8.87,-3.7,18.09,18.95,21.62,-0.86,-3.52,NORMAL,NORMAL
2026-05-18,bShi,BR,Americas,1824,1664,1694.0,9.62,7.68,22,19,15.0,15.79,50.98,250,239,211.0,4.6,18.24,7369,8173,7535.0,-9.84,-2.2,30.6,31.22,32.81,-0.62,-2.21,NORMAL,ALERT
2026-05-18,bShi,CA,Americas,2966,4564,3954.0,-35.01,-25.0,12,53,37.0,-77.36,-67.69,184,341,239.0,-46.04,-23.15,6374,10288,8459.0,-38.04,-24.65,57.88,56.11,57.53,1.77,0.35,WARNING,WARNING
2026-05-18,bShi,DE,EMEA,1246,1322,1491.0,-5.75,-16.41,9,17,18.0,-47.06,-49.19,103,146,205.0,-29.45,-49.86,4243,5462,5847.0,-22.32,-27.43,31.14,24.9,23.39,6.23,7.75,NORMAL,WARNING
